Combination	PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
('SLC10A2', 'BARD1')	8.603495454545456	8.610386404902407	0.0068909503569507535	3.55	3.741332116788321	0.1913321167883213	0.0003949318461412123	0.0004496165377526068	5.4684691611394504e-05
('SLC10A2', 'HNF4A')	7.727295454545455	8.024174398547427	0.29687894400197123	3.3	3.6291058394160585	0.32910583941605864	0.001187698362472742	0.00042963002208513186	-0.0007580683403876101
('SLC10A2', 'SPG7')	9.077927272727274	9.06577755333637	-0.012149719390905034	4.3	4.248865625863314	-0.05113437413668542	0.00022344687562704743	0.00045017691816418183	0.0002267300425371344
('SLC10A2', 'XRCC4')	10.118904545454546	10.101344575579013	-0.0175599698755331	3.4	1.7623175182481752	-1.6376824817518247	0.00011956688330323763	0.0002706137694126579	0.00015104688610942027
('SLC10A2', 'RNF8')	8.911763636363638	9.051336631865631	0.1395729955019931	3.9000000000000004	4.028056569343065	0.12805656934306509	0.0002914276759588687	0.0004499103511290223	0.0001584826751701536
('SLC10A2', 'MAP3K1')	7.151445454545456	7.175587857467093	0.02414240292163683	2.95	3.178832116788321	0.22883211678832094	0.000513328646253913	0.00044838396737550826	-6.494467887840471e-05
('SLC10A2', 'BCL2')	7.564213636363638	7.560032705401724	-0.0041809309619136314	3.15	3.3090784671532845	0.15907846715328455	0.0002952015854039872	0.0004496190491607698	0.0001544174637567826
('SLC10A2', 'NR1I3')	7.997377272727274	8.050509918293237	0.05313264556596309	3.3	3.4630474452554747	0.16304744525547488	0.00029734330261156557	0.00044850325518636287	0.0001511599525747973
('SLC10A2', 'MDM4')	8.437650000000001	8.423732523831136	-0.013917476168865406	3.3499999999999996	3.42632299270073	0.07632299270073029	0.00038823426246410085	0.00044744451907359945	5.9210256609498594e-05
('SLC10A2', 'FBXW7')	8.150668181818183	8.103142805265552	-0.047525376552631116	3.4	3.4536079879244177	0.05360798792441779	0.0002824531751621384	0.0004489127606833436	0.00016645958552120524
('SLC10A2', 'ACSS2')	9.044013636363639	9.066994779845675	0.022981143482036615	4.2	4.323220802919708	0.1232208029197075	0.0002716467181377901	0.00045035336011939016	0.0001787066419816001
('SLC10A2', 'PRDX4')	10.118904545454546	10.101344575579013	-0.0175599698755331	3.4	1.7623175182481752	-1.6376824817518247	0.00011956688330323763	0.0002706137694126579	0.00015104688610942027
('SLC10A2', 'GAS6')	8.679609090909093	8.710703949160234	0.031094858251140778	3.8499999999999996	3.9098323381296165	0.05983233812961686	0.00025764978877457494	0.00044959430912708037	0.00019194452035250543
('EPHX1', 'RRM1')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('EPHX1', 'IGF2')	9.183354545454545	9.204667862006353	0.021313316551808015	3.75	3.8375912408759123	0.0875912408759123	0.00045392200202476994	0.0004486746129377884	-5.2473890869815455e-06
('EPHX1', 'BRD4')	9.962313636363637	10.001278347707679	0.03896471134404145	4.05	4.044128880545598	-0.005871119454401885	0.00037659588998081346	0.0004494201865249919	7.282429654417846e-05
('EPHX1', 'SOX10')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('EPHX1', 'XRCC1')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('EPHX1', 'ERCC2')	8.962518181818183	8.936432864275979	-0.026085317542204223	4.3	4.184534671532846	-0.1154653284671534	0.00035613756072454554	0.00044978324245691553	9.364568173237e-05
('EPHX1', 'KLK3')	9.5576	9.680188878801632	0.12258887880163094	4.05	4.117244525547445	0.0672445255474452	0.0021983330919496426	0.00044032437370968925	-0.0017580087182399533
('EPHX1', 'BARD1')	9.89089090909091	9.95872383113935	0.06783292204844038	4.1	4.2536496350364965	0.15364963503649687	0.0004916622229112865	0.0004489677251648777	-4.269449774640878e-05
('EPHX1', 'HNF4A')	9.014690909090909	9.372511824784372	0.35782091569346264	3.85	4.141423357664234	0.2914233576642338	0.001284428739242816	0.00042898120949740276	-0.0008554475297454133
('EPHX1', 'SPG7')	10.365322727272728	10.414114979573313	0.04879225230058459	4.85	4.76118314411149	-0.08881685588850985	0.0003201772523971216	0.0004495281055764528	0.0001293508531793312
('EPHX1', 'XRCC4')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('EPHX1', 'RNF8')	10.199159090909092	10.399674058102576	0.2005149671934845	4.45	4.540374087591241	0.09037408759124066	0.00038815805272894284	0.0004492615385412932	6.110348581235038e-05
('EPHX1', 'MAP3K1')	8.43884090909091	8.523925283704036	0.08508437461312646	3.5	3.6911496350364965	0.1911496350364965	0.0006100590230239872	0.00044773515478777916	-0.000162323868236208
('EPHX1', 'BCL2')	8.851609090909092	8.908370131638668	0.056761040729575996	3.7	3.82139598540146	0.12139598540145968	0.00039193196217406133	0.00044897023657304076	5.703827439897943e-05
('EPHX1', 'NR1I3')	9.284772727272728	9.398847344530182	0.11407461725745449	3.85	3.9753649635036497	0.12536496350364956	0.00039407367938163975	0.0004478544425986338	5.378076321699407e-05
('EPHX1', 'MDM4')	9.725045454545455	9.77206995006808	0.04702449552262422	3.9	3.938640510948905	0.03864051094890497	0.00048496463923417503	0.0004467957064858704	-3.816893274830464e-05
('EPHX1', 'FBXW7')	9.438063636363637	9.451480231502495	0.013416595138858511	3.95	3.965925506172593	0.015925506172592918	0.00037918355193221256	0.00044826394809561456	6.9080396163402e-05
('EPHX1', 'ACSS2')	10.331409090909093	10.415332206082619	0.08392311517352624	4.75	4.835538321167883	0.08553832116788307	0.00036837709490786426	0.0004497045475316611	8.132745262379686e-05
('EPHX1', 'PRDX4')	11.406300000000002	11.449682001815958	0.04338200181595653	4.5	2.2746350364963503	-2.2253649635036497	0.0002162972600733118	0.0002699649568249288	5.3667696751616987e-05
('EPHX1', 'GAS6')	9.967004545454547	10.059041375397177	0.0920368299426304	4.4	4.422149856377791	0.022149856377790655	0.0003543801655446491	0.00044894549653935127	9.456533099470215e-05
