Combination	PEN Distance(cancer genes)	PEN Distance(other genes)	PEN-diff	Distance(cancer genes)	Distance(other genes)	Distance-diff	ppr(cancer genes)	ppr(other genes)	ppr-diff
('CDH1', 'NRG1')	5.977436111111112	7.436462096774193	1.4590259856630805	2.28125	2.9683770883054894	0.6871270883054894	0.0020809428127622036	0.00037411896706654967	-0.0017068238456956538
('CDH1', 'CDKN1B')	6.24091388888889	7.7001267899291985	1.459212901040308	2.4375	3.173826571201273	0.736326571201273	0.001993250076833323	0.0003738173498386097	-0.0016194327269947132
('CDH1', 'ERBB3')	5.989583333333334	7.42959169944925	1.440008366115916	2.25	2.9972155926809867	0.7472155926809867	0.002039935899862738	0.0003748562560074453	-0.0016650796438552925
('CDH1', 'HLA-DQA1')	7.218430555555557	8.682534854445326	1.4641042988897688	2.75	3.40199613773208	0.65199613773208	0.0017284222299781354	0.00037525547070508554	-0.0013531667592730499
('CDH1', 'PIK3CA')	5.529080555555557	6.981808418568066	1.4527278630125098	2.125	2.886634844868735	0.7616348448687349	0.00746092107805669	0.00033584837198166154	-0.007125072706075029
('CDH1', 'BIRC5')	6.47753888888889	8.01923402832416	1.5416951394352703	2.65625	3.3713206046141604	0.7150706046141604	0.0017466487515779422	0.0003741497877322663	-0.0013724989638456758
('EEF2K', 'HLA-DRB1')	7.2870333333333335	8.683572895357976	1.3965395620246426	3.0625	3.6060063643595863	0.5435063643595863	0.0012425246243374358	0.0003799749839656179	-0.0008625496403718179
('EEF2K', 'NRG1')	7.082780555555556	8.515252301337528	1.4324717457819718	2.9375	3.5003977724741446	0.5628977724741446	0.001530191475899806	0.0003773733528490711	-0.0011528181230507349
('EEF2K', 'CDKN1B')	7.346258333333334	8.778916994492532	1.4326586611591976	3.09375	3.705847255369928	0.6120972553699282	0.001442498739970925	0.0003770717356211311	-0.0010654270043497938
('EEF2K', 'ERBB3')	7.094927777777778	8.508381904012584	1.4134541262348055	2.90625	3.529236276849642	0.6229862768496419	0.00148918456300034	0.00037811064178996674	-0.0011110739212103734
('EEF2K', 'HLA-DQA1')	8.323775000000001	9.761325059008659	1.4375500590086574	3.40625	3.9340168219007356	0.5277668219007356	0.0011776708931157376	0.00037850985648760693	-0.0007991610366281307
('EEF2K', 'PIK3CA')	6.634425	8.0605986231314	1.4261736231313993	2.78125	3.4186555290373906	0.6374055290373906	0.0069101697411942924	0.000339102757764183	-0.0065710669834301095
('EEF2K', 'BIRC5')	7.582883333333333	9.098024232887493	1.5151408995541598	3.3125	3.9033412887828165	0.5908412887828165	0.0011958974147155445	0.0003774041735147877	-0.0008184932412007568
('HLA-DRB1', 'NRG1')	6.1133250000000015	7.550463001573551	1.4371380015735493	2.375	3.0017899761336517	0.6267899761336517	0.0018414232023777444	0.0003759955925027334	-0.001465427609875011
('HLA-DRB1', 'CDKN1B')	6.37680277777778	7.814127694728556	1.437324916950776	2.53125	3.2072394590294353	0.6759894590294353	0.0017537304664488633	0.0003756939752747934	-0.0013780364911740698
('HLA-DRB1', 'ERBB3')	6.125472222222223	7.543592604248607	1.418120382026384	2.34375	3.030628480509149	0.686878480509149	0.0018004162894782784	0.00037673288144362903	-0.0014236834080346493
('HLA-DRB1', 'HLA-DQA1')	7.354319444444446	8.796535759244684	1.4422163148002376	2.84375	3.4354090255602423	0.5916590255602423	0.0014889026195936757	0.0003771320961412693	-0.0011117705234524064
('HLA-DRB1', 'PIK3CA')	5.664969444444446	7.0958093233674235	1.4308398789229777	2.21875	2.920047732696897	0.7012977326968972	0.007221401467672231	0.00033772499741784533	-0.006883676470254386
('HLA-DRB1', 'BIRC5')	6.613427777777779	8.133234933123516	1.5198071553457373	2.75	3.4047334924423227	0.6547334924423227	0.0015071291411934828	0.00037602641316845	-0.0011311027280250328
('NRG1', 'CDKN1B')	6.172550000000001	7.645807100708106	1.4732571007081052	2.40625	3.1016308671439936	0.6953808671439936	0.0020413973180112336	0.0003730923441582466	-0.001668304973852987
('NRG1', 'ERBB3')	5.921219444444445	7.375272010228159	1.454052565783714	2.21875	2.9250198886237073	0.7062698886237073	0.002088083141040649	0.0003741312503270822	-0.0017139518907135667
('NRG1', 'HLA-DQA1')	7.1500666666666675	8.628215165224233	1.478148498557566	2.71875	3.3298004336748006	0.6110504336748006	0.001776569471156046	0.00037453046502472243	-0.0014020390061313236
('NRG1', 'PIK3CA')	5.460716666666668	6.927488729346974	1.466772062680306	2.09375	2.814439140811456	0.720689140811456	0.007509068319234601	0.0003351233663012984	-0.007173944952933303
('NRG1', 'BIRC5')	6.409175000000001	7.964914339103068	1.5557393391030665	2.625	3.2991249005568815	0.6741249005568815	0.001794795992755853	0.0003734247820519032	-0.0014213712107039498
('CDKN1B', 'ERBB3')	6.184697222222223	7.6389367033831626	1.4542394811609398	2.375	3.130469371519491	0.7554693715194909	0.0020003904051117674	0.00037382963309914223	-0.0016265607720126253
('CDKN1B', 'HLA-DQA1')	7.413544444444446	8.891879858379239	1.4783354139347935	2.875	3.535249916570584	0.6602499165705842	0.001688876735227165	0.0003742288477967824	-0.0013146478874303826
('CDKN1B', 'PIK3CA')	5.724194444444446	7.191153422501979	1.4669589780575327	2.25	3.0198886237072395	0.7698886237072395	0.007421375583305721	0.0003348217490733585	-0.007086553834232362
('CDKN1B', 'BIRC5')	6.672652777777779	8.228579032258072	1.5559262544802923	2.78125	3.504574383452665	0.723324383452665	0.001707103256826972	0.0003731231648239632	-0.0013339800920030087
('ERBB3', 'HLA-DQA1')	7.162213888888889	8.621344767899291	1.4591308790104023	2.6875	3.358638938050298	0.6711389380502979	0.0017355625582565802	0.00037526775396561806	-0.0013602948042909621
('ERBB3', 'PIK3CA')	5.47286388888889	6.9206183320220305	1.4477544431331406	2.0625	2.8432776451869533	0.7807776451869533	0.0074680614063351355	0.00033586065524219405	-0.007132200751092941
('ERBB3', 'BIRC5')	6.421322222222223	7.958043941778124	1.536721719555901	2.59375	3.3279634049323787	0.7342134049323787	0.001753789079856387	0.0003741620709927988	-0.0013796270088635883
('HLA-DQA1', 'PIK3CA')	6.701711111111113	8.173561487018107	1.4718503759069943	2.5625	3.2480581902380465	0.6855581902380465	0.007156547736450533	0.00033625986993983436	-0.006820287866510698
('HLA-DQA1', 'BIRC5')	7.650169444444446	9.2109870967742	1.5608176523297548	3.09375	3.7327439499834725	0.6389939499834725	0.0014422754099717846	0.000374561285690439	-0.0010677141242813456
('PIK3CA', 'BIRC5')	5.960819444444446	7.5102606608969396	1.549441216452494	2.46875	3.217382657120127	0.7486326571201269	0.00717477425805034	0.00033515418696701505	-0.006839620071083324
('CYP19A1', 'ESR2')	9.300680555555555	10.059282218725736	0.7586016631701806	2.5	1.623508353221957	-0.876491646778043	0.0009663672568160169	0.00022675553307226058	-0.0007396117237437564
('CYP19A1', 'MMP2')	10.011580555555556	10.694307022030223	0.6827264664746675	3.0625	1.7470167064439142	-1.3154832935560858	0.0006342985256615994	0.00022975815417662686	-0.0004045403714849725
('CYP19A1', 'CDKN2A')	9.209908333333333	9.893564398112042	0.6836560647787095	2.375	1.5067621320604614	-0.8682378679395386	0.001099145541704899	0.00022349815208744058	-0.0008756473896174584
('CYP19A1', 'PGR')	9.122702777777778	9.964637509835093	0.8419347320573145	2.125	1.4930389817024663	-0.6319610182975337	0.0011063334812736955	0.00022522598007482591	-0.0008811075011988696
('CYP19A1', 'ESR1')	8.6149	9.607786388670664	0.992886388670664	1.8125	1.4419252187748608	-0.3705747812251392	0.006584810899653661	0.00017426262871201955	-0.006410548270941642
('CYP19A1', 'TNFRSF11B')	10.363666666666667	11.01080363886737	0.6471369722007037	3.5	1.9797136038186158	-1.5202863961813842	0.00048790320315381916	0.00023085795897612093	-0.00025704524417769826
('CYP19A1', 'TNFSF11')	9.723249999999998	10.367044079465316	0.6437940794653176	2.625	1.6445902943516308	-0.9804097056483692	0.0005468512303803815	0.0002300065649773224	-0.00031684466540305914
('ESR2', 'MMP2')	6.799361111111111	8.240689240755314	1.4413281296442033	2.78125	3.370525059665871	0.5892750596658711	0.0016006657824776164	0.00037783548111198736	-0.001222830301365629
('ESR2', 'CDKN2A')	5.997688888888888	7.439946616837133	1.4422577279482454	2.4375	3.130270485282418	0.6927704852824181	0.002065512798520916	0.0003715754790228011	-0.0016939373194981148
('ESR2', 'PGR')	5.9104833333333335	7.511019728560183	1.6005363952268494	2.3125	3.116547334924423	0.804047334924423	0.0020727007380897124	0.00037330330701018644	-0.0016993974310795259
('ESR2', 'ESR1')	5.4026805555555555	7.154168607395755	1.7514880518401998	2.15625	3.0654335719968175	0.9091835719968175	0.007551178156469678	0.00032233995564738007	-0.007228838200822298
('ESR2', 'TNFRSF11B')	7.151447222222222	8.557185857592462	1.4057386353702395	3.0	3.6032219570405726	0.6032219570405726	0.001454270459969836	0.0003789352859114814	-0.0010753351740583547
('ESR2', 'TNFSF11')	6.511030555555553	7.913426298190406	1.4023957426348526	2.5625	3.268098647573588	0.7055986475735878	0.0015132184871963984	0.0003780838919126829	-0.0011351345952837154
('MMP2', 'CDKN2A')	6.7085888888888885	8.07497142014162	1.3663825312527322	2.71875	3.2537788385043758	0.5350288385043758	0.0017334440673664984	0.0003745781001271674	-0.001358865967239331
('MMP2', 'PGR')	6.621383333333334	8.146044531864671	1.5246611985313372	2.59375	3.2400556881463807	0.6463056881463807	0.001740632006935295	0.0003763059281145527	-0.0013643260788207424
('MMP2', 'ESR1')	6.113580555555555	7.789193410700243	1.6756128551446876	2.4375	3.188941925218775	0.7514419252187752	0.007219109425315261	0.00032534257675174635	-0.0068937668485635146
('MMP2', 'TNFRSF11B')	7.862347222222223	9.192210660896949	1.3298634386747263	3.28125	3.72673031026253	0.4454803102625302	0.0011222017288154186	0.0003819379070158477	-0.0007402638217995709
('MMP2', 'TNFSF11')	7.221930555555554	8.548451101494894	1.3265205459393403	2.84375	3.391607000795545	0.547857000795545	0.001181149756041981	0.0003810865130170492	-0.0008000632430249318
('CDKN2A', 'PGR')	5.819711111111111	7.34530190794649	1.5255907968353783	2.25	2.9998011137629277	0.7498011137629277	0.0022054790229785945	0.0003700459260253664	-0.001835433096953228
('CDKN2A', 'ESR1')	5.311908333333333	6.988450786782062	1.6765424534487288	2.09375	2.948687350835322	0.8549373508353222	0.00768395644135856	0.00031908257466256004	-0.007364873866696001
('CDKN2A', 'TNFRSF11B')	7.060675	8.391468036978768	1.3307930369787684	2.9375	3.486475735879077	0.5489757358790772	0.001587048744858718	0.0003756779049266614	-0.0012113708399320567
('CDKN2A', 'TNFSF11')	6.420258333333331	7.747708477576713	1.3274501442433815	2.5	3.1513524264120925	0.6513524264120925	0.0016459967720852805	0.00037482651092786293	-0.0012711702611574176
('PGR', 'ESR1')	5.224702777777779	7.0595238985051125	1.8348211207273337	1.96875	2.934964200477327	0.9662142004773271	0.007691144380927357	0.0003208104026499454	-0.007370333978277412
('PGR', 'TNFRSF11B')	6.973469444444445	8.462541148701817	1.4890717042573716	2.8125	3.472752585521082	0.6602525855210821	0.0015942366844275146	0.00037740573291404676	-0.0012168309515134678
('PGR', 'TNFSF11')	6.333052777777777	7.818781589299762	1.4857288115219855	2.375	3.1376292760540974	0.7626292760540974	0.001653184711654077	0.00037655433891524827	-0.001276630372738829
('ESR1', 'TNFRSF11B')	6.465666666666667	8.10569002753739	1.6400233608707229	2.65625	3.4216388225934766	0.7653888225934766	0.00707271410280748	0.0003264423815512404	-0.00674627172125624
('ESR1', 'TNFSF11')	5.825249999999999	7.461930468135336	1.6366804681353369	2.21875	3.086515513126492	0.8677655131264919	0.007131662130034043	0.0003255909875524419	-0.0068060711424816015
('TNFRSF11B', 'TNFSF11')	7.574016666666665	8.86494771833204	1.2909310516653747	3.0625	3.624303898170247	0.5618038981702469	0.0010347544335342007	0.00038218631781654323	-0.0006525681157176574
('ERBB2', 'ERBB3')	5.608961111111111	7.159416719118797	1.5504556080076854	2.09375	2.8844470962609385	0.7906970962609385	0.007600288513285587	0.00033540553516860327	-0.0072648829781169835
('PGR', 'NPSR1')	9.122702777777778	9.964637509835093	0.8419347320573145	2.125	1.4930389817024663	-0.6319610182975337	0.0011063334812736955	0.00022522598007482591	-0.0008811075011988696
('DHFR', 'ATIC')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'HLA-E')	9.4311	10.181533064516456	0.7504330645164554	2.8125	1.7718774860779634	-1.0406225139220366	0.0007563624013287399	0.00022922616583252872	-0.0005271362354962112
('DHFR', 'IL1RN')	9.824302777777778	10.540447403619508	0.7161446258417303	3.25	1.8082736674622115	-1.4417263325377885	0.0006524710291458635	0.00022972783811929547	-0.00042274319102656805
('DHFR', 'SULT2A1')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'HGF')	8.863297222222222	9.468506726986956	0.6052095047647335	2.125	1.327565632458234	-0.7974343675417661	0.0007371412678134812	0.0002287137023018921	-0.0005084275655115892
('DHFR', 'CCND1')	9.2136	10.111946026750916	0.8983460267509162	2.0	1.5385839299920445	-0.4614160700079555	0.006403586232303465	0.00018487051617304448	-0.00621871571613042
('DHFR', 'FOXP3')	9.858697222222222	10.66264423682173	0.8039470145995082	2.6875	1.6825775656324582	-1.0049224343675418	0.0013429383029346905	0.0002242740241683895	-0.001118664278766301
('DHFR', 'BMP7')	9.580097222222223	10.162699134540048	0.5826019123178252	2.5	1.5381861575178997	-0.9618138424821003	0.00046424600450932003	0.000230911034410337	-0.00023333497009898302
('DHFR', 'S100A8')	10.902283333333333	11.548569571204117	0.6462862378707843	3.9375	2.246918489065606	-1.6905815109343938	0.0003659477405839836	0.00023222795065527992	-0.0001337197899287037
('DHFR', 'TAT')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'SLC22A11')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'IKZF1')	10.639216666666666	11.640199567270187	1.0009829006035211	4.125	2.581145584725537	-1.5438544152744629	0.005131598894222904	0.00019747746066353032	-0.004934121433559374
('DHFR', 'PYGL')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'HLA-G')	9.634233333333334	10.283109559402362	0.648876226069028	3.5	1.9932378679395386	-1.5067621320604614	0.0004979547120471603	0.00023121943248324636	-0.00026673527956391394
('DHFR', 'SOD2')	10.082341666666666	10.976970416994817	0.8946287503281507	2.8125	1.7478122513922036	-1.0646877486077964	0.0021774461742816833	0.00021889816796926236	-0.0019585480063124207
('DHFR', 'KIR2DS4')	10.818627777777778	11.525915401259162	0.7072876234813847	4.0625	2.2871917263325376	-1.7753082736674624	0.0005246919774222627	0.0002310239946647256	-0.0002936679827575371
('DHFR', 'SLCO1B1')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'CDKN1B')	9.47446388888889	10.211185896931879	0.7367220080429888	2.5625	1.6535401750198886	-0.9089598249801114	0.0009768522910411762	0.00022573446653360334	-0.0007511178245075729
('DHFR', 'SLC22A9')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'SHMT1')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'AFP')	10.784502777777778	11.41404101101528	0.6295382332375024	3.1875	1.8231901352426412	-1.3643098647573588	0.0005309342846973232	0.00022983173193124565	-0.0003011025527660775
('DHFR', 'HLA-C')	9.662627777777779	10.332956018883104	0.6703282411053255	3.5	2.0105367793240556	-1.4894632206759444	0.0005018723873885448	0.0002311943688132475	-0.00027067801857529733
('DHFR', 'ADA')	10.891466666666668	11.508256510621887	0.6167898439552193	3.75	2.1105807478122514	-1.6394192521877486	0.0004279841247226625	0.00023162553336982891	-0.00019635859135283358
('DHFR', 'S100A12')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'KLRD1')	10.337066666666667	11.028643017309538	0.6915763506428707	3.0625	1.7875894988066825	-1.2749105011933175	0.0005254199857582744	0.00023086141530971404	-0.0002945585704485604
('DHFR', 'TLR4')	9.404275	10.110516856805997	0.7062418568059972	2.625	1.5777645186953062	-1.0472354813046938	0.0008908489797901073	0.00022754802078001887	-0.0006633009590100885
('DHFR', 'KCNA1')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'TNFAIP3')	9.626677777777779	10.345507395751703	0.718829617973924	2.75	1.6400159108989658	-1.1099840891010342	0.0007167339601218107	0.0002287814889953731	-0.0004879524711264376
('DHFR', 'HSPB2')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'PTPRM')	10.280591666666666	11.067793312352812	0.7872016456861459	3.0625	1.9323786793953859	-1.1301213206046141	0.0005695716189856017	0.00022958583639050726	-0.0003399857825950944
('DHFR', 'SLAMF1')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('DHFR', 'ICAM3')	10.487558333333336	11.190666994492865	0.7031086611595292	3.375	1.8609785202863962	-1.5140214797136038	0.0005403854413922849	0.00023059790177572796	-0.00030978753961655696
('DHFR', 'NOS3')	10.970761111111111	11.558674350905125	0.5879132397940143	4.625	2.547931583134447	-2.077068416865553	0.00033166752397006927	0.00023239617240623155	-9.927135156383773e-05
('ATIC', 'HLA-E')	9.4311	10.181533064516456	0.7504330645164554	2.8125	1.7718774860779634	-1.0406225139220366	0.0007563624013287399	0.00022922616583252872	-0.0005271362354962112
('ATIC', 'IL1RN')	9.824302777777778	10.540447403619508	0.7161446258417303	3.25	1.8082736674622115	-1.4417263325377885	0.0006524710291458635	0.00022972783811929547	-0.00042274319102656805
('ATIC', 'SULT2A1')	12.5129	12.512900000000645	6.448175327022909e-13		0.0		0.0	7.867820613690008e-05	7.867820613690008e-05
('ATIC', 'HGF')	8.863297222222222	9.468506726986956	0.6052095047647335	2.125	1.327565632458234	-0.7974343675417661	0.0007371412678134812	0.0002287137023018921	-0.0005084275655115892
('ATIC', 'CCND1')	9.2136	10.111946026750916	0.8983460267509162	2.0	1.5385839299920445	-0.4614160700079555	0.006403586232303465	0.00018487051617304448	-0.00621871571613042
('ATIC', 'FOXP3')	9.858697222222222	10.66264423682173	0.8039470145995082	2.6875	1.6825775656324582	-1.0049224343675418	0.0013429383029346905	0.0002242740241683895	-0.001118664278766301
('ATIC', 'BMP7')	9.580097222222223	10.162699134540048	0.5826019123178252	2.5	1.5381861575178997	-0.9618138424821003	0.00046424600450932003	0.000230911034410337	-0.00023333497009898302
