gene_u,gene_v,bucket_pen,pen_diff,is_known,score,rank_in_bucket
ABCG1,CDC25C,1,0.6292941472159868,1,0.78969043,108
PERP,CDC25C,1,0.6292941472159868,1,0.78969043,109
TUBB3,MMP2,1,0.6827264664746675,1,0.7827684,117
BRCA2,CDH17,1,0.6754707710467471,1,0.72279596,157
GADD45A,EIF3A,1,0.7212783591226248,1,0.8372821,65
TP53AIP1,NQO1,1,0.7689475544194053,1,0.69230497,173
S100A12,TNFAIP3,1,0.718829617973924,1,0.753249,134
PTPRC,HMMR,1,0.6472538399338852,1,0.73229,147
GAPDH,DHFR,1,0.696381104117819,1,0.67687297,179
XRCC4,CHN2,1,0.7584767702599606,1,0.7935569,105
GABPA,GRP,1,0.6833201569196454,1,0.74571794,141
CASP7,RRM1,1,0.8360627305711787,1,0.87998194,18
XPC,GSTP1,1,0.6783528367867646,1,0.79758424,104
GNL3,KLC1,1,0.846000004371346,1,0.8229128,78
IL6R,ERCC1,1,0.725970226855809,1,0.813279,93
BIRC5,CCNK,1,0.8192042464379501,1,0.7380588,144
AFP,AKR7A2,1,0.6295382332375024,1,0.73388743,145
IL11,MUC2,1,0.6491996066092867,1,0.71645653,161
IL1RN,SLCO1B1,1,0.7161446258417303,1,0.7515978,138
SELE,CES1,1,0.6381081847192771,1,0.69854367,171
XRCC1,MYB,1,0.7128593277387694,1,0.86791766,30
CYP2B6,MUTYH,1,0.6229903619200847,1,0.88831216,12
ERCC1,HLA-G,1,0.648876226069028,1,0.71645653,162
TUBB3,SLC10A2,1,0.6414566767203116,1,0.70338815,169
RRM1,FHL2,1,0.8255864542358395,1,0.9663,3
SHMT1,NQO1,1,0.7689475544194053,1,0.69230497,174
TUBB3,LIF,1,0.6433993989862454,1,0.81389534,92
CYP2B6,PERP,1,0.6252548977186692,1,0.858063,38
TUBA1A,ACSS2,1,0.7004993552761487,1,0.7878215,113
LIG3,CCNK,1,0.6498253081566219,1,0.8451687,49
SELE,PERP,1,0.6381081847192771,1,0.69854367,172
GABPA,FANCC,1,0.750204838709994,1,0.7735402,123
PLD1,HSPB2,1,0.6357528761258582,1,0.6677398,180
ABCG1,NOS3,1,0.5879132397940143,1,0.8418568,57
IL1RN,SLAMF1,1,0.7161446258417303,1,0.7515978,139
ERCC1,FOXO1,1,0.7711142429411382,1,0.78469163,116
ATRX,NCF4,1,0.6941162273803396,1,0.7634894,125
TP53AIP1,FOXP3,1,0.8039470145995082,1,0.93557274,6
ERCC1,ATR,1,0.680063936970333,1,0.7896396,111
DSCAM,ETS2,1,0.7441094391995406,1,0.62630117,183
LIG3,RRM1,1,0.6498253081566219,1,0.8451687,50
GABPA,BRCA2,1,0.6754707710467471,1,0.72279596,158
ATRX,DAPK1,1,0.7949707251511349,1,0.97534174,1
EXO1,CHN2,1,0.7584767702599606,1,0.7935569,106
TPT1,HMMR,1,0.7147288311918629,1,0.7466935,140
CYP2B6,HMMR,1,0.6252548977186692,1,0.858063,39
BRCA1,TUBA3C,1,0.8328059555034262,1,0.82886255,73
TUBB3,STMN1,1,0.7985809030512883,1,0.8052214,99
TOP2A,EZH2,1,0.7953350620686876,1,0.67951214,178
XRCC1,LIG3,1,0.6498253081566219,1,0.8451687,51
SLAMF1,NOS3,1,0.5879132397940143,1,0.8418568,58
ERCC1,IL5,1,0.6690928140575068,1,0.87085325,22
IL11,ABCG1,1,0.6491996066092867,1,0.71645653,163
GADD45A,XPC,1,0.7212783591226248,1,0.8372821,66
TUBA1A,MMP2,1,0.6827264664746675,1,0.7827684,118
GABPA,CDC25C,1,0.6292941472159868,1,0.78969043,110
MUTYH,MYCN,1,0.8442303282632757,1,0.8320345,69
TUBA1A,APC,1,0.6987509659938524,1,0.7296793,149
E2F7,DHFR,1,0.7170417409741994,1,0.71464884,167
ERCC1,TNFRSF1A,1,0.7476308287440929,1,0.8826864,16
TOP2A,NCF4,1,0.6941162273803396,1,0.7634894,126
ATIC,ICAM3,1,0.7031086611595292,1,0.6656402,181
TUBA1A,PTHLH,1,0.6469939767465505,1,0.71559316,166
STAT1,CDH17,1,0.74243179692313,1,0.75857353,128
ATRX,BMP7,1,0.5826019123178252,1,0.8163424,87
IL11,XRCC1,1,0.6491996066092867,1,0.71645653,164
EXO1,TYMP,1,0.713050974735868,1,0.80419415,100
HLA-G,SLCO1B1,1,0.648876226069028,1,0.71645653,165
MUTYH,FANCC,1,0.7479403029114096,1,0.72406685,153
LRP2,MUTYH,1,0.7280843430373007,1,0.84239364,53
NF2,MUTYH,1,0.7407967851214146,1,0.7251603,151
CASP7,TUBA1C,1,0.8360627305711787,1,0.87998194,19
TUBA1A,FOS,1,0.6823120180963098,1,0.7918039,107
DSCAM,RNF8,1,0.6790848588166547,1,0.8191364,81
CBL,CDSN,1,0.5844567794390869,1,0.8569722,40
XRCC1,GAS6,1,0.8451457732322449,1,0.817884,83
ERCC1,DAPK1,1,0.7949707251511349,1,0.97534174,2
TNFAIP3,HSPB2,1,0.718829617973924,1,0.753249,135
ERCC2,MUTYH,1,0.5971708082003424,1,0.84972554,45
XRCC1,RNF8,1,0.6790848588166547,1,0.8191364,82
TBXA2R,TUBB3,1,0.6340833180351115,1,0.7439426,142
TP53AIP1,LIG3,1,0.6498253081566219,1,0.8451687,52
TUBA1B,SLC10A2,1,0.6414566767203116,1,0.70338815,170
ERCC1,PPP1R13L,1,0.8359980723842817,1,0.88477373,14
GNL3,MUTYH,1,0.8437354685727616,1,0.8229128,79
VEGFA,CES1,1,0.7451777471810228,1,0.7244833,152
XRCC1,NQO1,1,0.7689475544194053,1,0.69230497,175
CCNA2,DHFR,1,0.6848613493315643,1,0.8686751,27
KLC1,NOS3,1,0.5879132397940143,1,0.8418568,59
NF2,CDSN,1,0.743061320919999,1,0.581162,185
NF2,CDH17,1,0.743061320919999,1,0.581162,186
TUBB3,SPG7,1,0.6672427572343445,1,0.84989303,43
MIR21,EIF3A,1,0.7163050550750683,1,0.75709534,130
PON1,CCNK,1,0.6326675255707261,1,0.76716703,124
SPG7,XRCC4,1,0.6672427572343445,1,0.84989303,44
BMP7,HMMR,1,0.5826019123178252,1,0.8163424,88
TOP2A,RAC2,1,0.7287703820267222,1,0.8015679,101
NFE2,EDNRB,1,0.6639211250986818,1,0.8123935,97
CHEK1,STAG2,1,0.710887512020598,1,0.84730667,46
PERP,EPHX1,1,0.5951468353880394,1,0.8616466,36
PRDX4,GAS6,1,0.8451457732322449,1,0.817884,84
DFFB,EIF3A,1,0.7441106521552499,1,0.7263531,150
