g1,g2,g3,score
CASP10,PLA2G1B,TOP2A,0.7929018940668361
CASP10,TUBA4A,XRCC4,0.7929018940668361
CASP10,MC2R,RRM1,0.7929018940668361
CASP10,RRM1,TUBA1A,0.7929018940668361
ACVR1,CASP10,PAPOLA,0.7929018940668361
CASP10,NOTCH1,PAPOLA,0.7929018940668361
CASP10,MAP3K7,PAPOLA,0.7929018940668361
CASP10,PAPOLA,TOP2A,0.7929018940668361
CASP10,GNRHR2,XRCC1,0.7929018940668361
CAMKK1,CASP10,PAPOLA,0.7929018940668361
CASP10,PAPOLA,XRCC1,0.7929018940668361
CASP10,PAPOLA,XRCC4,0.7929018940668361
CASP10,CRH,PAPOLA,0.7929018940668361
CASP10,PAPOLA,TUBA1C,0.7929018940668361
CASP10,PRKAB1,SOX10,0.7929018940668361
CASP10,PERP,SOX10,0.7929018940668361
CASP10,HMMR,SOX10,0.7929018940668361
CASP10,PAPOLA,SOX10,0.7929018940668361
CASP10,IFNAR1,SOX10,0.7929018940668361
CASP10,TP53AIP1,XRCC1,0.7929018940668361
CASP10,SOX10,XRCC1,0.7929018940668361
APP,CASP10,CYP17A1,0.7929018940668361
CASP10,IL21,XRCC4,0.7929018940668361
CASP10,CYP17A1,RFX5,0.7929018940668361
CASP10,CCNK,CYP17A1,0.7929018940668361
CASP10,CYP17A1,PRKAB1,0.7929018940668361
CASP10,CYP17A1,PSMC5,0.7929018940668361
CASP10,CYP17A1,TUBB3,0.7929018940668361
CASP10,CYP17A1,IL21,0.7929018940668361
ACTR2,CASP10,CYP17A1,0.7929018940668361
CASP10,CYP17A1,PPP1R13L,0.7929018940668361
CASP10,CYP17A1,GNRHR2,0.7929018940668361
CASP10,IRS1,XRCC4,0.7929018940668361
CASP10,CX3CL1,XRCC1,0.7929018940668361
CASP10,NOTCH1,XRCC1,0.7929018940668361
CASP10,TUBB3,XRCC1,0.7929018940668361
CASP10,PLA2G1B,XRCC1,0.7929018940668361
ACVR1,CASP10,TOP2A,0.7929018940668361
CASP10,TOP2A,TUBA4A,0.7929018940668361
CASP10,PSMC5,TOP2A,0.7929018940668361
CASP10,TOP2A,XRCC1,0.7929018940668361
CASP10,CYP17A1,TOP2A,0.7929018940668361
CASP10,COPS5,TOP2A,0.7929018940668361
CASP10,DEK,TOP2A,0.7929018940668361
ACTR2,CASP10,RRM1,0.7929018940668361
IL21,MC2R,TP53AIP1,0.7929018940668361
ACTR2,APP,IL21,0.7929018940668361
ACVR1,TUBA1B,XRCC1,0.7929018940668361
RUNX1,TUBA1B,UBQLN1,0.7929018940668361
MBNL1,RUNX1,TUBA1A,0.7929018940668361
NCKAP1L,RUNX1,TUBA1B,0.7929018940668361
GNRHR2,RUNX1,TUBA1B,0.7929018940668361
RUNX1,TUBA1B,XRCC4,0.7929018940668361
IL21,RUNX1,TUBA1B,0.7929018940668361
CX3CL1,RUNX1,TUBA1B,0.7929018940668361
MBNL1,RUNX1,TUBA1B,0.7929018940668361
RHOC,RUNX1,TUBA1B,0.7929018940668361
MC2R,RUNX1,TUBA1B,0.7929018940668361
CCNK,RUNX1,TUBA1B,0.7929018940668361
RUNX1,TUBA1B,TUBA4A,0.7929018940668361
CCNK,RUNX1,TUBA4A,0.7929018940668361
IRS1,RUNX1,TUBA1B,0.7929018940668361
GNRHR2,RUNX1,TUBA1A,0.7929018940668361
CX3CL1,MBNL1,RUNX1,0.7929018940668361
GNRHR2,MBNL1,RUNX1,0.7929018940668361
MBNL1,PERP,RUNX1,0.7929018940668361
IRS1,MBNL1,RUNX1,0.7929018940668361
RUNX1,TP53AIP1,TUBA4A,0.7929018940668361
HMMR,RUNX1,TUBA4A,0.7929018940668361
PRDX4,RUNX1,TUBA4A,0.7929018940668361
MC2R,RUNX1,TUBA4A,0.7929018940668361
ACTR2,MBNL1,RUNX1,0.7929018940668361
RUNX1,TP53AIP1,TUBA1C,0.7929018940668361
